site_id,freepbx_version,asterisk_version,platform,system_ip
100,,,Unknown,216.109.194.21
101,15.0.17.12,16.13.0,FreePBX,205.251.183.11
102,15.0.17,16.15.1,FreePBX,216.109.194.103
103,15.0.16.78,16.13.0,FreePBX,69.39.69.16
104,15.0.16.78,16.13.0,FreePBX,69.39.69.17
105,15.0.16.78,16.13.0,FreePBX,69.39.69.18
106,15.0.16.78,16.13.0,FreePBX,69.39.69.19
108,15.0.16.78,16.13.0,FreePBX,69.39.69.21
109,15.0.16.81,16.13.0,FreePBX,69.39.69.22
111,15.0.17,16.13.0,FreePBX,69.39.69.24
112,15.0.17,16.15.1,FreePBX,69.39.69.25
113,15.0.17,16.15.1,FreePBX,69.39.69.26
117,15.0.17,16.15.1,FreePBX,69.39.69.29
118,15.0.17,16.13.0,FreePBX,69.39.69.30
120,15.0.17,16.15.1,FreePBX,69.39.69.32
121,15.0.17,16.15.1,FreePBX,69.39.69.33
123,15.0.24,16.29.1,FreePBX,69.39.69.35
124,15.0.17,16.15.1,FreePBX,69.39.69.36
125,15.0.17,16.15.1,FreePBX,69.39.69.37
126,15.0.17,16.15.1,FreePBX,69.39.69.38
127,15.0.17,16.15.1,FreePBX,69.39.69.39
128,15.0.17,16.15.1,FreePBX,69.39.69.40
129,15.0.17,16.15.1,FreePBX,69.39.69.41
13,13.0.197.22,12.8.1,FreePBX,205.251.183.15
130,15.0.17,16.15.1,FreePBX,69.39.69.42
131,15.0.17,16.15.1,FreePBX,69.39.69.43
132,15.0.17,16.15.1,FreePBX,69.39.69.44
133,15.0.17,16.15.1,FreePBX,69.39.69.45
134,15.0.17,16.15.1,FreePBX,69.39.69.46
135,15.0.17,16.15.1,FreePBX,69.39.69.47
136,15.0.17,16.15.1,FreePBX,69.39.69.48
137,15.0.17,16.15.1,FreePBX,205.251.183.7
138,15.0.17,16.15.1,FreePBX,69.39.69.49
140,15.0.17,16.15.1,FreePBX,69.39.69.51
142,15.0.17,16.15.1,FreePBX,69.39.69.53
143,15.0.17,16.16.2,FreePBX,69.39.69.54
144,15.0.17,16.16.2,FreePBX,69.39.69.55
145,15.0.17,16.16.2,FreePBX,69.39.69.56
146,15.0.17,16.17.0,FreePBX,69.39.69.57
149,15.0.17,16.17.0,FreePBX,69.39.69.60
151,15.0.17,16.17.0,FreePBX,69.39.69.62
152,15.0.17,16.17.0,FreePBX,69.39.69.63
153,15.0.17,16.17.0,FreePBX,69.39.69.64
154,15.0.17,16.17.0,FreePBX,69.39.69.65
155,15.0.17,16.17.0,FreePBX,69.39.69.66
157,15.0.17,16.17.0,FreePBX,69.39.69.68
159,15.0.17,16.17.0,FreePBX,69.39.69.70
160,15.0.17,16.17.0,FreePBX,69.39.69.71
161,15.0.17,16.17.0,FreePBX,69.39.69.72
162,15.0.17,16.17.0,FreePBX,69.39.69.73
163,15.0.17,16.17.0,FreePBX,69.39.69.74
164,15.0.17,16.17.0,FreePBX,69.39.69.75
165,15.0.17,16.17.0,FreePBX,69.39.69.76
166,15.0.17,16.17.0,FreePBX,69.39.69.77
167,15.0.17,16.17.0,FreePBX,69.39.69.78
168,15.0.17,16.17.0,FreePBX,69.39.69.79
169,15.0.17,16.17.0,FreePBX,69.39.69.80
170,15.0.17,16.17.0,FreePBX,69.39.69.81
171,15.0.17,16.19.0,FreePBX,69.39.69.82
172,15.0.17,16.19.0,FreePBX,69.39.69.83
173,15.0.17,16.19.0,FreePBX,69.39.69.84
175,15.0.17,16.19.0,FreePBX,69.39.69.86
176,15.0.17,16.19.0,FreePBX,69.39.69.87
177,15.0.17,16.19.0,FreePBX,69.39.69.88
178,15.0.17,16.19.0,FreePBX,69.39.69.89
179,15.0.17,16.19.0,FreePBX,69.39.69.90
180,15.0.17,16.20.0,FreePBX,69.39.69.91
181,15.0.17,16.20.0,FreePBX,69.39.69.92
182,15.0.17,16.20.0,FreePBX,69.39.69.93
183,15.0.17,16.20.0,FreePBX,69.39.69.94
184,15.0.17,16.20.0,FreePBX,69.39.69.95
185,15.0.17,16.20.0,FreePBX,69.39.69.96
186,15.0.17,16.20.0,FreePBX,69.39.69.97
187,15.0.17,16.20.0,FreePBX,69.39.69.98
188,15.0.17,16.20.0,FreePBX,69.39.69.99
189,15.0.17,16.20.0,FreePBX,69.39.69.100
19,15.0.23.25,16.20.0,FreePBX,205.251.183.22
191,15.0.17,16.20.0,FreePBX,69.39.69.101
192,15.0.17,16.20.0,FreePBX,69.39.69.102
193,15.0.17,16.20.0,FreePBX,69.39.69.103
194,15.0.17,16.20.0,FreePBX,69.39.69.104
195,15.0.17,16.20.0,FreePBX,69.39.69.105
196,15.0.17,16.20.0,FreePBX,69.39.69.106
197,15.0.17,16.20.0,FreePBX,69.39.69.107
198,15.0.17,16.20.0,FreePBX,69.39.69.108
199,15.0.17,16.17.0,FreePBX,69.39.69.109
200,15.0.17,16.20.0,FreePBX,69.39.69.110
201,15.0.17,16.20.0,FreePBX,69.39.69.111
202,15.0.23.17,16.27.0,FreePBX,69.39.69.112
203,15.0.17,16.20.0,FreePBX,69.39.69.113
204,15.0.17,16.20.0,FreePBX,69.39.69.114
205,15.0.17,16.20.0,FreePBX,69.39.69.116
206,15.0.17,16.20.0,FreePBX,69.39.69.117
207,15.0.17,16.20.0,FreePBX,69.39.69.118
209,15.0.17,16.20.0,FreePBX,69.39.69.120
210,15.0.17,16.20.0,FreePBX,69.39.69.121
211,15.0.17,16.20.0,FreePBX,69.39.69.122
212,15.0.17,16.20.0,FreePBX,69.39.69.123
213,15.0.17,16.20.0,FreePBX,69.39.69.124
215,15.0.17,16.20.0,FreePBX,69.39.69.126
216,15.0.17,16.20.0,FreePBX,69.39.69.127
217,15.0.17,16.30.0,FreePBX,69.39.69.128
220,15.0.17,16.20.0,FreePBX,69.39.69.131
222,15.0.17,16.17.0,FreePBX,69.39.69.133
223,15.0.22,16.24.0,FreePBX,69.39.69.134
224,15.0.22,16.24.0,FreePBX,69.39.69.135
225,15.0.22,16.24.0,FreePBX,69.39.69.136
226,15.0.22,16.24.0,FreePBX,69.39.69.137
227,15.0.22,16.24.0,FreePBX,69.39.69.138
228,15.0.22,16.24.0,FreePBX,69.39.69.139
23,14.0.17,14.7.5,FreePBX,205.251.183.26
231,15.0.22,16.24.0,FreePBX,69.39.69.142
232,15.0.24,16.24.0,FreePBX,69.39.69.143
233,15.0.23,16.24.0,FreePBX,69.39.69.144
234,15.0.22,16.20.0,FreePBX,69.39.69.145
235,15.0.22,16.24.0,FreePBX,69.39.69.146
236,15.0.24,16.24.0,FreePBX,69.39.69.147
237,15.0.24,16.24.0,FreePBX,69.39.69.148
238,15.0.24,16.24.0,FreePBX,69.39.69.149
239,15.0.24,16.24.0,FreePBX,69.39.69.150
24,15.0.16.42,16.6.2,FreePBX,205.251.183.27
240,15.0.24,16.24.0,FreePBX,69.39.69.151
242,15.0.24,16.24.0,FreePBX,205.251.183.16
243,15.0.23,16.26.1,FreePBX,69.39.69.153
247,15.0.23,16.25.3,FreePBX,69.39.69.156
248,15.0.23,16.26.1,FreePBX,69.39.69.157
249,15.0.23,16.24.1,FreePBX,69.39.69.158
251,15.0.23,16.26.1,FreePBX,69.39.69.160
252,15.0.23,16.26.1,FreePBX,69.39.69.161
253,15.0.23,16.24.1,FreePBX,69.39.69.162
254,15.0.23,16.26.1,FreePBX,69.39.69.163
255,15.0.23,16.26.1,FreePBX,69.39.69.164
256,15.0.23.11,16.26.1,FreePBX,69.39.69.165
257,15.0.23.11,16.26.1,FreePBX,69.39.69.166
258,15.0.23.11,16.26.1,FreePBX,69.39.69.167
259,15.0.23.11,16.26.1,FreePBX,69.39.69.168
26,14.0.17,14.7.5,FreePBX,205.251.183.29
260,15.0.23.11,16.24.1,FreePBX,69.39.69.169
261,15.0.23.17,16.27.0,FreePBX,69.39.69.170
262,15.0.23.11,16.27.0,FreePBX,69.39.69.171
263,15.0.23.11,16.27.0,FreePBX,69.39.69.172
264,15.0.23.17,16.27.0,FreePBX,69.39.69.173
265,15.0.23.17,16.24.1,FreePBX,69.39.69.174
266,15.0.23.17,16.27.0,FreePBX,69.39.69.175
267,15.0.23.17,16.27.0,FreePBX,69.39.69.97
268,15.0.23.17,16.27.0,FreePBX,69.39.69.97
27,14.0.17,14.7.5,FreePBX,205.251.183.30
270,15.0.23.17,16.27.0,FreePBX,69.39.69.97
271,15.0.23.17,16.27.0,FreePBX,69.39.69.97
272,15.0.23.17,16.27.0,FreePBX,69.39.69.97
273,15.0.23.17,16.27.0,FreePBX,69.39.69.177
274,15.0.23.17,16.27.0,FreePBX,69.39.69.97
275,15.0.23.17,16.27.0,FreePBX,69.39.69.97
